mois_jour,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
01/01,1974,1670.0,1886.0,1640.0,1798,1757.0,1699.0,1779.0,1815,1885.0,1708.0,1819.0,1813,1874.0,1701.0,1877.0,1761,2204.0,2027.0,1816.0,1900.0,2140.0
01/02,2040,1777.0,1927.0,1801.0,1829,1537.0,1765.0,1757.0,1881,2009.0,1678.0,1810.0,1754,1872.0,1780.0,1972.0,1797,2371.0,2142.0,1912.0,1895.0,2054.0
01/03,2086,1775.0,1850.0,1701.0,1807,1672.0,1813.0,1774.0,1881,1920.0,1683.0,1881.0,1743,1866.0,1712.0,1958.0,1726,2352.0,2137.0,1850.0,1949.0,2150.0
01/04,2080,1701.0,1887.0,1605.0,1701,1679.0,1720.0,1799.0,1898,1911.0,1748.0,1814.0,1762,1803.0,1693.0,1856.0,1835,2251.0,2160.0,1878.0,1825.0,2196.0
01/05,2039,1697.0,1792.0,1569.0,1901,1665.0,1661.0,1749.0,1853,1993.0,1699.0,1875.0,1757,1748.0,1618.0,1978.0,1778,2272.0,2099.0,1889.0,1735.0,2174.0
01/06,2001,1651.0,1777.0,1648.0,1810,1685.0,1588.0,1641.0,1859,2076.0,1754.0,1913.0,1730,1706.0,1786.0,1848.0,1799,2260.0,2020.0,1880.0,1975.0,2115.0
01/07,2031,1665.0,1938.0,1690.0,1852,1558.0,1702.0,1663.0,1916,2005.0,1746.0,1768.0,1662,1787.0,1781.0,1969.0,1731,2238.0,2008.0,1967.0,1987.0,2107.0
01/08,1944,1712.0,1857.0,1729.0,1804,1542.0,1602.0,1707.0,1827,1976.0,1737.0,1776.0,1713,1803.0,1684.0,1920.0,1721,2227.0,2072.0,1937.0,1939.0,2153.0
01/09,1881,1679.0,1858.0,1789.0,1743,1534.0,1703.0,1701.0,1850,1986.0,1650.0,1673.0,1736,1742.0,1749.0,1964.0,1740,2379.0,2060.0,1947.0,1964.0,2169.0
01/10,1959,1657.0,1944.0,1684.0,1750,1665.0,1632.0,1763.0,1853,2042.0,1732.0,1759.0,1776,1868.0,1699.0,1935.0,1745,2420.0,1968.0,1932.0,1931.0,2052.0
01/11,1917,1739.0,1916.0,1649.0,1631,1598.0,1647.0,1647.0,1760,1915.0,1788.0,1803.0,1686,1777.0,1693.0,1903.0,1834,2359.0,2033.0,1911.0,1860.0,2201.0
01/12,1902,1730.0,1822.0,1775.0,1783,1546.0,1630.0,1645.0,1703,2047.0,1820.0,1785.0,1716,1793.0,1562.0,1941.0,1753,2318.0,1994.0,2010.0,1784.0,2166.0
01/13,1973,1618.0,1801.0,1757.0,1716,1629.0,1627.0,1671.0,1682,2086.0,1796.0,1691.0,1692,1675.0,1755.0,1937.0,1764,2350.0,1991.0,1917.0,1811.0,2189.0
01/14,1970,1564.0,1864.0,1789.0,1669,1530.0,1660.0,1532.0,1722,1972.0,1790.0,1714.0,1648,1788.0,1725.0,1891.0,1772,2213.0,1923.0,1974.0,1934.0,2212.0
01/15,1980,1627.0,1914.0,1866.0,1654,1602.0,1594.0,1658.0,1803,2003.0,1728.0,1725.0,1642,1848.0,1636.0,1894.0,1819,2118.0,1846.0,1955.0,1894.0,2103.0
01/16,1860,1686.0,1889.0,1729.0,1618,1458.0,1577.0,1557.0,1713,2017.0,1694.0,1633.0,1738,1857.0,1685.0,1898.0,1771,2233.0,1989.0,1974.0,1880.0,2055.0
01/17,2047,1706.0,1795.0,1734.0,1636,1652.0,1734.0,1665.0,1689,1942.0,1577.0,1727.0,1819,1854.0,1742.0,1819.0,1703,2186.0,1992.0,1938.0,1840.0,2009.0
01/18,1972,1646.0,1812.0,1714.0,1448,1619.0,1665.0,1539.0,1688,2005.0,1692.0,1658.0,1766,1832.0,1642.0,1794.0,1775,2117.0,1934.0,1932.0,1759.0,2192.0
01/19,1944,1627.0,1859.0,1772.0,1614,1604.0,1631.0,1579.0,1668,2145.0,1730.0,1683.0,1688,1886.0,1592.0,1859.0,1811,2111.0,1959.0,1909.0,1725.0,2177.0
01/20,1941,1608.0,1872.0,1851.0,1675,1625.0,1602.0,1600.0,1706,2054.0,1741.0,1613.0,1709,1811.0,1671.0,1873.0,1879,2163.0,1922.0,1831.0,1789.0,2239.0
01/21,1931,1540.0,1916.0,1774.0,1702,1573.0,1548.0,1446.0,1659,1923.0,1675.0,1653.0,1662,1949.0,1631.0,1801.0,1813,2193.0,1968.0,1933.0,1810.0,2321.0
01/22,1978,1764.0,1852.0,1705.0,1597,1668.0,1599.0,1536.0,1597,1913.0,1689.0,1651.0,1742,1933.0,1666.0,1855.0,1783,2120.0,1891.0,2043.0,1793.0,2286.0
01/23,1849,1646.0,1830.0,1677.0,1561,1533.0,1598.0,1534.0,1599,1930.0,1651.0,1536.0,1736,1838.0,1554.0,1875.0,1847,2206.0,1864.0,1980.0,1788.0,2085.0
01/24,1927,1728.0,1816.0,1556.0,1633,1651.0,1573.0,1578.0,1727,1829.0,1652.0,1746.0,1731,1901.0,1668.0,1913.0,1654,2102.0,1898.0,1910.0,1845.0,2111.0
01/25,1918,1585.0,1856.0,1632.0,1541,1629.0,1569.0,1617.0,1627,1820.0,1715.0,1688.0,1663,1852.0,1645.0,1817.0,1782,2222.0,1881.0,2020.0,1808.0,2115.0
01/26,1886,1633.0,1851.0,1572.0,1673,1587.0,1549.0,1608.0,1515,1998.0,1640.0,1621.0,1702,1851.0,1538.0,1904.0,1705,2227.0,1825.0,2064.0,1755.0,2141.0
01/27,1969,1625.0,1788.0,1734.0,1619,1645.0,1570.0,1552.0,1564,1860.0,1684.0,1556.0,1666,1823.0,1644.0,2011.0,1800,2212.0,1784.0,1987.0,1878.0,2133.0
01/28,1979,1633.0,1830.0,1590.0,1568,1706.0,1586.0,1616.0,1646,1796.0,1673.0,1568.0,1616,1886.0,1699.0,1876.0,1748,2117.0,1735.0,2080.0,1817.0,2206.0
01/29,1975,1502.0,1733.0,1594.0,1569,1622.0,1561.0,1617.0,1583,1864.0,1708.0,1707.0,1626,1920.0,1638.0,2019.0,1798,2100.0,1818.0,2014.0,1863.0,2243.0
01/30,1995,1658.0,1757.0,1673.0,1517,1659.0,1635.0,1606.0,1595,1846.0,1610.0,1620.0,1650,1901.0,1666.0,2027.0,1666,2156.0,1835.0,2008.0,1778.0,2144.0
01/31,1946,1558.0,1794.0,1624.0,1605,1711.0,1686.0,1615.0,1599,1816.0,1684.0,1659.0,1702,1806.0,1570.0,2002.0,1709,2159.0,1831.0,2028.0,1852.0,2037.0
02/01,2081,1603.0,1845.0,1586.0,1569,1794.0,1600.0,1629.0,1656,1750.0,1674.0,1683.0,1674,1943.0,1673.0,1831.0,1769,2219.0,1771.0,2150.0,1742.0,2283.0
02/02,1917,1630.0,1693.0,1564.0,1615,1759.0,1586.0,1679.0,1605,1877.0,1689.0,1701.0,1665,1715.0,1639.0,1994.0,1806,2100.0,1791.0,2035.0,1859.0,2045.0
02/03,1848,1637.0,1687.0,1711.0,1607,1719.0,1606.0,1629.0,1512,1789.0,1705.0,1661.0,1723,1722.0,1727.0,2046.0,1774,2081.0,1751.0,1896.0,1887.0,2125.0
02/04,1874,1587.0,1692.0,1731.0,1668,1760.0,1547.0,1637.0,1640,1792.0,1630.0,1710.0,1790,1925.0,1708.0,2077.0,1712,2050.0,1792.0,2032.0,1871.0,2107.0
02/05,1865,1683.0,1733.0,1622.0,1528,1763.0,1540.0,1638.0,1663,1893.0,1676.0,1676.0,1770,1801.0,1566.0,2051.0,1723,1946.0,1888.0,2097.0,1743.0,2125.0
