date,mois_jour,year,allcause,allcause_per100k,covid,covid_per100k
2000-01-01,01/01,2000,1974.0,3.3429863333841388,,
2000-01-02,01/02,2000,2040.0,3.4547579129197783,,
2000-01-03,01/03,2000,2086.0,3.532659316838558,,
2000-01-04,01/04,2000,2080.0,3.5224982641534996,,
2000-01-05,01/05,2000,2039.0,3.4530644041389356,,
2000-01-06,01/06,2000,2001.0,3.3887110704669,,
2000-01-07,01/07,2000,2031.0,3.439516333892191,,
2000-01-08,01/08,2000,1944.0,3.292181069958848,,
2000-01-09,01/09,2000,1881.0,3.185490016765737,,
2000-01-10,01/10,2000,1959.0,3.3175837016714933,,
2000-01-11,01/11,2000,1917.0,3.246456332876086,,
2000-01-12,01/12,2000,1902.0,3.2210537011634406,,
2000-01-13,01/13,2000,1973.0,3.3412928246032956,,
2000-01-14,01/14,2000,1970.0,3.3362122982607665,,
2000-01-15,01/15,2000,1980.0,3.353147386069197,,
2000-01-16,01/16,2000,1860.0,3.1499263323680333,,
2000-01-17,01/17,2000,2047.0,3.4666124743856797,,
2000-01-18,01/18,2000,1972.0,3.3395993158224524,,
2000-01-19,01/19,2000,1944.0,3.292181069958848,,
2000-01-20,01/20,2000,1941.0,3.2871005436163188,,
2000-01-21,01/21,2000,1931.0,3.2701654558078883,,
2000-01-22,01/22,2000,1978.0,3.3497603685075106,,
2000-01-23,01/23,2000,1849.0,3.13129773577876,,
2000-01-24,01/24,2000,1927.0,3.263391420684516,,
2000-01-25,01/25,2000,1918.0,3.2481498416569288,,
2000-01-26,01/26,2000,1886.0,3.193957560669952,,
2000-01-27,01/27,2000,1969.0,3.3345187894799233,,
2000-01-28,01/28,2000,1979.0,3.3514538772883538,,
2000-01-29,01/29,2000,1975.0,3.3446798421649815,,
2000-01-30,01/30,2000,1995.0,3.378550017781842,,
2000-01-31,01/31,2000,1946.0,3.2955680875205338,,
2000-02-01,02/01,2000,2081.0,3.524191772934343,,
2000-02-02,02/02,2000,1917.0,3.246456332876086,,
2000-02-03,02/03,2000,1848.0,3.129604226997917,,
2000-02-04,02/04,2000,1874.0,3.1736354552998356,,
2000-02-05,02/05,2000,1865.0,3.1583938762722483,,
2000-02-06,02/06,2000,1778.0,3.011058612338905,,
2000-02-07,02/07,2000,1868.0,3.1634744026147774,,
2000-02-08,02/08,2000,1781.0,3.016139138681434,,
2000-02-09,02/09,2000,1734.0,2.9365442259818115,,
2000-02-10,02/10,2000,1753.0,2.9687208928178292,,
2000-02-11,02/11,2000,1729.0,2.9280766820775965,,
2000-02-12,02/12,2000,1726.0,2.9229961557350674,,
2000-02-13,02/13,2000,1639.0,2.775660891801724,,
2000-02-14,02/14,2000,1804.0,3.055089840640824,,
2000-02-15,02/15,2000,1727.0,2.9246896645159106,,
2000-02-16,02/16,2000,1706.0,2.889125980118207,,
2000-02-17,02/17,2000,1655.0,2.8027570322952124,,
2000-02-18,02/18,2000,1666.0,2.8213856288844856,,
2000-02-19,02/19,2000,1628.0,2.7570322952124506,,
2000-02-20,02/20,2000,1559.0,2.6401801893342816,,
2000-02-21,02/21,2000,1591.0,2.6943724703212584,,
2000-02-22,02/22,2000,1656.0,2.8044505410760556,,
2000-02-23,02/23,2000,1679.0,2.843401243035445,,
2000-02-24,02/24,2000,1614.0,2.7333231722806484,,
2000-02-25,02/25,2000,1585.0,2.6842114176362,,
2000-02-26,02/26,2000,1586.0,2.6859049264170434,,
2000-02-27,02/27,2000,1637.0,2.772273874240038,,
2000-02-28,02/28,2000,1618.0,2.74009720740402,,
2000-03-01,03/01,2000,1615.0,2.735016681061491,,
2000-03-02,03/02,2000,1571.0,2.660502294704398,,
2000-03-03,03/03,2000,1584.0,2.6825179088553575,,
2000-03-04,03/04,2000,1537.0,2.602922996155735,,
2000-03-05,03/05,2000,1543.0,2.6130840488407934,,
2000-03-06,03/06,2000,1549.0,2.6232451015258516,,
2000-03-07,03/07,2000,1601.0,2.711307558129689,,
2000-03-08,03/08,2000,1483.0,2.5114735219902116,,
2000-03-09,03/09,2000,1528.0,2.587681417128148,,
2000-03-10,03/10,2000,1553.0,2.6300191366492234,,
2000-03-11,03/11,2000,1537.0,2.602922996155735,,
2000-03-12,03/12,2000,1438.0,2.435265626852275,,
2000-03-13,03/13,2000,1548.0,2.6215515927450084,,
2000-03-14,03/14,2000,1486.0,2.5165540483327407,,
2000-03-15,03/15,2000,1447.0,2.4505072058798625,,
2000-03-16,03/16,2000,1476.0,2.49961896052431,,
2000-03-17,03/17,2000,1608.0,2.72316211959559,,
2000-03-18,03/18,2000,1413.0,2.3929279073311993,,
2000-03-19,03/19,2000,1417.0,2.3997019424545716,,
2000-03-20,03/20,2000,1447.0,2.4505072058798625,,
2000-03-21,03/21,2000,1506.0,2.550424223949601,,
2000-03-22,03/22,2000,1546.0,2.6181645751833225,,
2000-03-23,03/23,2000,1506.0,2.550424223949601,,
2000-03-24,03/24,2000,1515.0,2.5656658029771884,,
2000-03-25,03/25,2000,1471.0,2.491151416620095,,
2000-03-26,03/26,2000,1454.0,2.462361767345764,,
2000-03-27,03/27,2000,1526.0,2.5842943995664616,,
2000-03-28,03/28,2000,1473.0,2.494538434181781,,
2000-03-29,03/29,2000,1486.0,2.5165540483327407,,
2000-03-30,03/30,2000,1498.0,2.536876153702857,,
2000-03-31,03/31,2000,1454.0,2.462361767345764,,
2000-04-01,04/01,2000,1492.0,2.526715101017799,,
2000-04-02,04/02,2000,1500.0,2.540263171264543,,
2000-04-03,04/03,2000,1528.0,2.587681417128148,,
2000-04-04,04/04,2000,1580.0,2.675743873731985,,
2000-04-05,04/05,2000,1451.0,2.4572812410032348,,
2000-04-06,04/06,2000,1424.0,2.411556503920473,,
2000-04-07,04/07,2000,1455.0,2.4640552761266066,,
2000-04-08,04/08,2000,1511.0,2.558891767853816,,
2000-04-09,04/09,2000,1486.0,2.5165540483327407,,
2000-04-10,04/10,2000,1468.0,2.486070890277566,,
2000-04-11,04/11,2000,1485.0,2.5148605395518975,,
2000-04-12,04/12,2000,1475.0,2.4979254517434675,,
2000-04-13,04/13,2000,1409.0,2.3861538722078275,,
2000-04-14,04/14,2000,1423.0,2.4098629951396298,,
2000-04-15,04/15,2000,1485.0,2.5148605395518975,,
2000-04-16,04/16,2000,1448.0,2.4522007146607057,,
2000-04-17,04/17,2000,1492.0,2.526715101017799,,
2000-04-18,04/18,2000,1471.0,2.491151416620095,,
2000-04-19,04/19,2000,1476.0,2.49961896052431,,
2000-04-20,04/20,2000,1448.0,2.4522007146607057,,
2000-04-21,04/21,2000,1499.0,2.5385696624836998,,
2000-04-22,04/22,2000,1489.0,2.5216345746752697,,
2000-04-23,04/23,2000,1387.0,2.3488966790292807,,
2000-04-24,04/24,2000,1405.0,2.379379837084455,,
2000-04-25,04/25,2000,1505.0,2.548730715168758,,
2000-04-26,04/26,2000,1468.0,2.486070890277566,,
2000-04-27,04/27,2000,1483.0,2.5114735219902116,,
2000-04-28,04/28,2000,1471.0,2.491151416620095,,
2000-04-29,04/29,2000,1446.0,2.4488136970990193,,
2000-04-30,04/30,2000,1430.0,2.421717556605531,,
