mois_jour,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01/01,1974,1670,1886,1640,1798,1757,1699,1779,1815,1885,1708,1819,1813,1874,1701,1877,1761,2204,2027,1839,1895
01/02,2040,1777,1927,1801,1829,1537,1765,1757,1881,2009,1678,1810,1754,1872,1780,1972,1797,2371,2142,1935,1892
01/03,2086,1775,1850,1701,1807,1672,1813,1774,1881,1920,1683,1881,1743,1866,1712,1958,1726,2352,2137,1880,1940
01/04,2080,1701,1887,1605,1701,1679,1720,1799,1898,1911,1748,1814,1762,1803,1693,1856,1835,2251,2160,1900,1821
01/05,2039,1697,1792,1569,1901,1665,1661,1749,1853,1993,1699,1875,1757,1748,1618,1978,1778,2272,2099,1921,1734
01/06,2001,1651,1777,1648,1810,1685,1588,1641,1859,2076,1754,1913,1730,1706,1786,1848,1799,2260,2020,1896,1967
01/07,2031,1665,1938,1690,1852,1558,1702,1663,1916,2005,1746,1768,1662,1787,1781,1969,1731,2238,2008,1984,1981
01/08,1944,1712,1857,1729,1804,1542,1602,1707,1827,1976,1737,1776,1713,1803,1684,1920,1721,2227,2072,1965,1934
01/09,1881,1679,1858,1789,1743,1534,1703,1701,1850,1986,1650,1673,1736,1742,1749,1964,1740,2379,2060,1972,1961
01/10,1959,1657,1944,1684,1750,1665,1632,1763,1853,2042,1732,1759,1776,1868,1699,1935,1745,2420,1968,1957,1925
01/11,1917,1739,1916,1649,1631,1598,1647,1647,1760,1915,1788,1803,1686,1777,1693,1903,1834,2359,2033,1940,1855
01/12,1902,1730,1822,1775,1783,1546,1630,1645,1703,2047,1820,1785,1716,1793,1562,1941,1753,2318,1994,2034,1781
01/13,1973,1618,1801,1757,1716,1629,1627,1671,1682,2086,1796,1691,1692,1675,1755,1937,1764,2350,1991,1935,1809
01/14,1970,1564,1864,1789,1669,1530,1660,1532,1722,1972,1790,1714,1648,1788,1725,1891,1772,2213,1923,1990,1928
01/15,1980,1627,1914,1866,1654,1602,1594,1658,1803,2003,1728,1725,1642,1848,1636,1894,1819,2118,1846,1977,1889
01/16,1860,1686,1889,1729,1618,1458,1577,1557,1713,2017,1694,1633,1738,1857,1685,1898,1771,2233,1989,2006,1871
01/17,2047,1706,1795,1734,1636,1652,1734,1665,1689,1942,1577,1727,1819,1854,1742,1819,1703,2186,1992,1967,1834
01/18,1972,1646,1812,1714,1448,1619,1665,1539,1688,2005,1692,1658,1766,1832,1642,1794,1775,2117,1934,1961,1756
01/19,1944,1627,1859,1772,1614,1604,1631,1579,1668,2145,1730,1683,1688,1886,1592,1859,1811,2111,1959,1930,1723
01/20,1941,1608,1872,1851,1675,1625,1602,1600,1706,2054,1741,1613,1709,1811,1671,1873,1879,2163,1922,1854,1788
01/21,1931,1540,1916,1774,1702,1573,1548,1446,1659,1923,1675,1653,1662,1949,1631,1801,1813,2193,1968,1954,1806
01/22,1978,1764,1852,1705,1597,1668,1599,1536,1597,1913,1689,1651,1742,1933,1666,1855,1783,2120,1891,2072,1791
01/23,1849,1646,1830,1677,1561,1533,1598,1534,1599,1930,1651,1536,1736,1838,1554,1875,1847,2206,1864,2004,1783
01/24,1927,1728,1816,1556,1633,1651,1573,1578,1727,1829,1652,1746,1731,1901,1668,1913,1654,2102,1898,1934,1838
01/25,1918,1585,1856,1632,1541,1629,1569,1617,1627,1820,1715,1688,1663,1852,1645,1817,1782,2222,1881,2045,1804
01/26,1886,1633,1851,1572,1673,1587,1549,1608,1515,1998,1640,1621,1702,1851,1538,1904,1705,2227,1825,2087,1751
01/27,1969,1625,1788,1734,1619,1645,1570,1552,1564,1860,1684,1556,1666,1823,1644,2011,1800,2212,1784,2014,1876
01/28,1979,1633,1830,1590,1568,1706,1586,1616,1646,1796,1673,1568,1616,1886,1699,1876,1748,2117,1735,2109,1809
01/29,1975,1502,1733,1594,1569,1622,1561,1617,1583,1864,1708,1707,1626,1920,1638,2019,1798,2100,1818,2037,1859
01/30,1995,1658,1757,1673,1517,1659,1635,1606,1595,1846,1610,1620,1650,1901,1666,2027,1666,2156,1835,2033,1769
01/31,1946,1558,1794,1624,1605,1711,1686,1615,1599,1816,1684,1659,1702,1806,1570,2002,1709,2159,1831,2044,1843
02/01,2081,1603,1845,1586,1569,1794,1600,1629,1656,1750,1674,1683,1674,1943,1673,1831,1769,2219,1771,2169,1735
02/02,1917,1630,1693,1564,1615,1759,1586,1679,1605,1877,1689,1701,1665,1715,1639,1994,1806,2100,1791,2057,1852
02/03,1848,1637,1687,1711,1607,1719,1606,1629,1512,1789,1705,1661,1723,1722,1727,2046,1774,2081,1751,1926,1883
02/04,1874,1587,1692,1731,1668,1760,1547,1637,1640,1792,1630,1710,1790,1925,1708,2077,1712,2050,1792,2053,1867
02/05,1865,1683,1733,1622,1528,1763,1540,1638,1663,1893,1676,1676,1770,1801,1566,2051,1723,1946,1888,2110,1740
02/06,1778,1653,1817,1626,1599,1778,1602,1652,1703,1831,1716,1678,1849,1761,1719,2055,1714,2032,1896,2116,1805
02/07,1868,1609,1718,1654,1489,1820,1708,1629,1613,1762,1590,1726,1901,1847,1670,2095,1602,2009,1864,2049,1827
02/08,1781,1581,1704,1624,1466,1804,1617,1718,1606,1707,1659,1766,1788,1832,1676,2057,1722,2011,1826,2100,1799
02/09,1734,1535,1753,1606,1547,1805,1646,1619,1592,1766,1645,1712,1875,1765,1648,2151,1712,1948,1865,2063,1710
02/10,1753,1577,1687,1636,1502,1808,1640,1595,1598,1789,1625,1736,1930,1870,1771,2119,1745,2009,1945,1984,1819
02/11,1729,1610,1776,1640,1513,1842,1552,1691,1600,1689,1688,1621,1870,1972,1724,2163,1683,1915,1867,2041,1785
02/12,1726,1674,1694,1683,1534,1846,1568,1702,1640,1738,1710,1627,1840,1903,1720,2164,1774,1903,1846,1992,1792
02/13,1639,1619,1666,1629,1557,1908,1543,1640,1594,1733,1689,1607,1879,1909,1738,2153,1822,1980,1896,2014,1766
02/14,1804,1561,1677,1599,1479,1884,1619,1649,1700,1617,1733,1668,1960,1824,1770,2220,1753,1898,1878,2005,1766
02/15,1727,1482,1675,1609,1500,1880,1673,1633,1624,1567,1752,1660,1976,1891,1717,2113,1751,1957,1814,2048,1752
02/16,1706,1561,1663,1482,1578,1908,1672,1680,1536,1744,1747,1682,2019,1822,1618,2118,1743,1888,1997,2021,1786
02/17,1655,1581,1633,1656,1550,1846,1583,1703,1630,1698,1731,1697,1968,1824,1716,2155,1683,1903,1876,1907,1864
02/18,1666,1493,1729,1712,1577,1807,1639,1560,1637,1675,1715,1603,1996,1926,1623,2096,1722,1756,1784,2032,1755
02/19,1628,1552,1608,1667,1507,1895,1590,1693,1667,1662,1758,1570,1922,1824,1722,2128,1725,1665,1978,2123,1667
02/20,1559,1530,1719,1659,1561,1935,1633,1640,1674,1665,1720,1620,1901,1859,1715,2102,1696,1759,1941,2032,1695
02/21,1591,1557,1660,1644,1562,1937,1568,1644,1731,1688,1666,1655,1951,1927,1718,2147,1673,1776,1878,1995,1746
02/22,1656,1546,1577,1638,1540,1914,1624,1628,1691,1658,1834,1605,2008,1892,1615,1979,1797,1855,1874,2019,1633
02/23,1679,1572,1725,1709,1538,1882,1552,1494,1675,1748,1709,1630,1992,1837,1601,2158,1722,1793,1972,1856,1667
02/24,1614,1546,1563,1683,1578,1921,1583,1556,1678,1655,1694,1657,2006,1835,1685,2070,1680,1811,1944,1852,1726
02/25,1585,1518,1644,1680,1515,1880,1606,1590,1719,1579,1678,1636,1983,1889,1723,2045,1643,1672,1950,2044,1696
02/26,1586,1536,1729,1666,1529,1904,1507,1572,1581,1613,1689,1542,1991,2007,1672,1968,1685,1742,2026,1955,1799
02/27,1637,1666,1670,1718,1556,1881,1561,1553,1614,1691,1583,1558,2026,1913,1756,1935,1760,1792,1994,1979,1747
02/28,1618,1628,1629,1692,1522,1970,1634,1541,1582,1672,1629,1580,1944,1917,1656,1916,1637,1815,1990,1950,1761
02/29,1608,,,,1589,,,,1553,,,,1978,,,,1853,,,0,1702
03/01,1615,1622,1660,1682,1594,2014,1601,1549,1582,1590,1594,1594,2046,1950,1677,1923,1824,1695,2168,1897,1770
03/02,1571,1616,1554,1614,1495,1941,1586,1579,1547,1658,1650,1541,1980,1969,1665,1980,1734,1782,2214,1937,1774
03/03,1584,1735,1585,1681,1541,1884,1617,1550,1596,1640,1561,1582,1882,1883,1660,2033,1792,1752,2162,1772,1757
03/04,1537,1661,1577,1632,1618,1886,1620,1567,1490,1685,1639,1553,1865,1965,1666,1897,1753,1739,2122,1909,1795
03/05,1543,1714,1701,1658,1547,1844,1569,1433,1575,1557,1580,1562,1910,1934,1596,1932,1735,1558,2226,1891,1761
03/06,1549,1684,1597,1575,1544,1896,1588,1584,1592,1576,1476,1559,1894,1963,1683,1873,1725,1658,2187,1889,1830
03/07,1601,1716,1570,1621,1463,1895,1587,1566,1654,1595,1579,1590,1857,1856,1596,1865,1759,1723,2081,1885,1677
03/08,1483,1641,1703,1563,1537,1921,1647,1598,1551,1502,1668,1654,1834,1898,1675,1744,1785,1656,2137,1829,1694
03/09,1528,1545,1646,1511,1498,1950,1536,1555,1525,1524,1684,1592,1774,1871,1604,1866,1804,1728,2085,1795,1805
03/10,1553,1557,1585,1605,1498,1852,1491,1451,1617,1589,1565,1554,1796,1744,1677,1930,1834,1788,2111,1701,1810
03/11,1537,1564,1608,1646,1627,1842,1477,1445,1613,1557,1705,1603,1839,1761,1660,1840,1708,1701,1961,1787,1871
03/12,1438,1664,1523,1606,1539,1883,1449,1473,1562,1564,1690,1545,1869,1796,1622,1763,1764,1609,2066,1733,1773
03/13,1548,1573,1596,1556,1531,1818,1508,1503,1619,1567,1614,1508,1789,1896,1676,1827,1685,1734,2000,1713,1746
03/14,1486,1580,1511,1550,1548,1874,1527,1516,1559,1565,1576,1594,1827,1870,1705,1759,1754,1634,1951,1747,1727
03/15,1447,1597,1518,1539,1571,1825,1507,1562,1570,1515,1644,1583,1750,1713,1551,1690,1855,1582,1924,1765,1814
03/16,1476,1574,1562,1534,1475,1886,1514,1440,1480,1556,1660,1646,1836,1740,1614,1831,1826,1612,1927,1739,1958
03/17,1608,1637,1532,1565,1469,1933,1566,1431,1489,1578,1689,1510,1732,1710,1642,1847,1779,1625,1863,1652,1995
03/18,1413,1523,1581,1563,1419,1865,1492,1491,1583,1460,1574,1519,1656,1769,1665,1775,1849,1553,1814,1778,1961
