LOCATION,TIME,UE,CPI,c_ue,c_cpi
AUS,1968-01-01,1.85,8.497794,-1.3333333333333286,2.5210065784902076
AUS,1969-01-01,1.8,8.77641,-2.702702702702705,3.2786862096209854
AUS,1970-01-01,1.625,9.078245,-9.722222222222223,3.4391624821538707
AUS,1971-01-01,1.925,9.635477,18.461538461538463,6.138102683943857
AUS,1972-01-01,2.625,10.21593,36.36363636363636,6.024123144085138
AUS,1973-01-01,2.325,11.14465,-11.428571428571422,9.090900192150887
AUS,1974-01-01,2.7,12.86278,16.129032258064516,15.416634887591808
AUS,1975-01-01,4.925,14.8131,82.40740740740739,15.162507638317685
AUS,1976-01-01,4.75,16.78663,-3.5532994923857832,13.322869622158754
AUS,1977-01-01,5.65,18.85303,18.947368421052637,12.309796546418202
AUS,1978-01-01,6.442533,20.3622,14.027132743362825,8.00492016402669
AUS,1979-01-01,6.265499,22.21964,-2.747894345283135,9.122000569683024
AUS,1980-01-01,6.106246,24.47179,-2.541744879378331,10.135852786093746
AUS,1981-01-01,5.783571,26.79359,-5.2843432773589445,9.487659055590129
AUS,1982-01-01,7.156132,29.83515,23.732067955939332,11.351819595657025
AUS,1983-01-01,9.961594,32.83028,39.20360887697431,10.038930590260158
AUS,1984-01-01,8.98968,34.13049,-9.756611241132694,3.960398753833351
AUS,1985-01-01,8.262986,36.42907,-8.083647026368016,6.734682098030239
AUS,1986-01-01,8.081038,39.72603,-2.201964277804661,9.050354565735546
AUS,1987-01-01,8.10804,43.11586,0.33414024287475574,8.533019785767658
AUS,1988-01-01,7.227954,46.22707,-10.854485177675494,7.2159293587093005
AUS,1989-01-01,6.179825,49.70977,-14.501046907603454,7.5338973462951495
AUS,1990-01-01,6.923,53.355,12.025825974036481,7.333025278531761
AUS,1991-01-01,9.576522,55.04992,38.32907698974434,3.1766844719332834
AUS,1992-01-01,10.72814,55.60715,12.02543052686559,1.012226720765438
AUS,1993-01-01,10.87467,56.58231,1.3658472018448704,1.7536593765370145
AUS,1994-01-01,9.72219,57.69677,-10.597838830971428,1.969626195890555
AUS,1995-01-01,8.472281,60.36684,-12.856249466426792,4.627763391260903
AUS,1996-01-01,8.506114,61.94567,0.39933755738271143,2.615392821621931
AUS,1997-01-01,8.362488,62.08498,-1.6885031166993454,0.2248906178591689
AUS,1998-01-01,7.677429,62.61899,-8.192047629844142,0.8601275219867913
AUS,1999-01-01,6.873791,63.54771,-10.467540631114925,1.4831283609013906
AUS,2000-01-01,6.285546,66.38031,-8.557795836387806,4.457438356157904
AUS,2001-01-01,6.742173,69.30578,7.264714950777548,4.407135188130343
AUS,2002-01-01,6.368911,71.37218,-5.536226970147465,2.981569502572515
AUS,2003-01-01,5.92842,73.32249,-6.916268731027953,2.732591326200211
AUS,2004-01-01,5.396734,75.04063,-8.968426663428025,2.343264665452566
AUS,2005-01-01,5.033881,77.0606,-6.723566512635241,2.6918350765445345
AUS,2006-01-01,4.78524,79.80032,-4.93934997668797,3.555279870647264
AUS,2007-01-01,4.379151,81.65777,-8.48628281967048,2.327622245123829
AUS,2008-01-01,4.23433,85.21012,-3.307056550459217,4.350290241822676
AUS,2009-01-01,5.560385,86.71929,31.31676085708955,1.7711159190950527
AUS,2010-01-01,5.21334,89.25006,-6.241384364571887,2.9183472327783173
AUS,2011-01-01,5.081195,92.19875,-2.534747398021221,3.303852120659638
AUS,2012-01-01,5.223376,93.82401,2.7981803493075916,1.762778779538765
AUS,2013-01-01,5.66194,96.12259,8.396179022915454,2.4498846297445622
AUS,2014-01-01,6.077244,98.51405,7.335012380915372,2.487927135546384
AUS,2015-01-01,6.056423,100.0,-0.3426059575689349,1.5083635278419703
AUS,2016-01-01,5.710301,101.277,-5.714957492235919,1.277000000000001
AUS,2017-01-01,5.59376,103.2505,-2.040890664082343,1.9486161714900732
AUS,2018-01-01,5.299855,105.2241,-5.254158204856834,1.9114677410763188
AUS,2019-01-01,5.159019,106.919,-2.657355720109327,1.6107526697781114
AUS,2020-01-01,6.465497,107.8245,25.324155619508286,0.8469027955742231
AUT,1994-01-01,4.241667,68.09123,7.157912181718909,2.9533889181879354
AUT,1995-01-01,4.241667,69.61877,0.0,2.2433726046658315
AUT,1996-01-01,4.733333,70.91436,11.591338971211092,1.8609780092351593
AUT,1997-01-01,4.733333,71.84048,0.0,1.305969623077748
AUT,1998-01-01,4.725,72.50319,-0.17604930817249426,0.9224743487237337
AUT,1999-01-01,4.15,72.91573,-12.169312169312155,0.5689956538463932
AUT,2000-01-01,3.933333,74.6255,-5.220891566265064,2.344857549941564
AUT,2001-01-01,3.983333,76.60308,1.271186548405635,2.6500056951042246
AUT,2002-01-01,4.383333,77.98987,10.041841844505603,1.8103580169361213
AUT,2003-01-01,4.758333,79.04707,8.55513373042842,1.3555606644811804
AUT,2004-01-01,5.508333,80.67638,15.761822470180206,2.061189617780886
AUT,2005-01-01,5.633333,82.53125,2.2692890934516847,2.299148771920611
AUT,2006-01-01,5.25,83.72098,-6.804728213297533,1.4415509276789062
AUT,2007-01-01,4.866667,85.53651,-7.301580952380959,2.168548433140665
AUT,2008-01-01,4.141667,88.28732,-14.897259253612376,3.215948371052299
AUT,2009-01-01,5.325,88.73433,28.571418223628317,0.506312797806079
AUT,2010-01-01,4.841667,90.34355,-9.076676056338028,1.8135258360546516
AUT,2011-01-01,4.575,93.31277,-5.507751772271822,3.286587697738253
AUT,2012-01-01,4.883333,95.63223,6.739519125683064,2.485683363595365
AUT,2013-01-01,5.358333,97.54502,9.726963121294403,2.0001520407920914
AUT,2014-01-01,5.641667,99.1114,5.287726611989213,1.6058021209078737
AUT,2015-01-01,5.733333,100.0,1.6248034490514953,0.8965668934148814
AUT,2016-01-01,6.033333,100.8916,5.232558443753395,0.8915999999999968
AUT,2017-01-01,5.516667,102.9914,-8.563525335001398,2.08124363177906
AUT,2018-01-01,4.858333,105.0496,-11.933546106734374,1.9984192854937397
AUT,2019-01-01,4.508333,106.6578,-7.204117132357943,1.5308958815645148
AUT,2020-01-01,5.391667,108.1317,19.59336189230031,1.381896120114985
BEL,1984-01-01,10.8,52.54686,0.5430254327306793,6.341789781592695
BEL,1985-01-01,10.10833,55.10522,-6.404351851851854,4.868720985421394
BEL,1986-01-01,10.03333,55.81849,-0.7419623221640079,1.2943782821300673
BEL,1987-01-01,9.8,56.68556,-2.3255489453650853,1.5533741597094537
BEL,1988-01-01,8.8,57.34364,-10.204081632653061,1.1609305791457263
BEL,1989-01-01,7.383333,59.12534,-16.09848863636364,3.107057731249709
BEL,1990-01-01,6.55,61.16417,-11.286677710459497,3.4483184367311837
